sale_id,date,customer_id,product_id,quantity,unit_price,total_amount,payment_method
1001,2024-01-15,C001,P101,3,99.99,299.97,Credit Card
1002,2024-01-15,C002,P102,1,49.99,49.99,Debit Card
1003,2024-01-16,C003,P101,2,99.99,199.98,PayPal
1004,2024-01-16,C001,P103,1,79.99,79.99,Cash
1005,2024-01-17,C004,P104,5,49.99,249.95,Credit Card
1006,2024-01-17,C002,P105,2,149.99,299.98,Credit Card
1007,2024-01-18,C005,P101,1,99.99,99.99,Debit Card
1008,2024-01-18,C003,P103,3,79.99,239.97,PayPal
1009,2024-01-19,C001,P102,4,49.99,199.96,Credit Card
1010,2024-01-19,C006,P104,2,49.99,99.98,Cash
